"nota","genotipo"
2.25,"2ZRB29ZS.0/PEYOB268"
2,"2ZRB29ZS.0/WXFC164"
2,"AG8700PRO3"
1,"AG8700PRO4"
2.3,"AS1633PRO3"
2.2,"AS1820PRO3"
1.90909090909091,"AS1868PRO3"
3.1,"B2401PWU"
2.6,"B2620PWU"
2.25,"B6T7T943ZS.2/UBYYD379"
2.5,"B7T7T812ZS.4/PEYFA119"
2,"B7T7T812ZS.4/UBFXC736"
2.5,"B7Y6Y842ZL.1/8DTB18"
3.25,"B7Y6Y842ZL.1/UBTUE619"
2.1,"DKB255PRO3"
2.18181818181818,"DKB335PRO3"
2.4,"DKB360PRO3"
2,"DKB390PRO4"
2.25,"K9606TG"
3.33333333333333,"K9606VIP3"
2.9,"MG580PWU"
3.5,"MG593PWU"
4.2,"MG652PWU"
2.33333333333333,"NK506VIP3"
2.5,"NK508"
2.5,"NK511VIP3"
3.71428571428571,"NK520VIP3"
3.85714285714286,"NS75VIP3"
3.5,"NS80VIP3"
2.5,"NS88VIP3"
2,"NS90PRO2"
2.66666666666667,"NS91VIP2"
2.25,"NS91VIP3"
3.28571428571429,"NS95VIP2"
2.2,"P3707VYH"
2.75,"P3845VYHR"
2.66666666666667,"P3858PWU"
2,"P3889RR"
2.09090909090909,"P3898"
2,"PETTF126ZL.2/8DTB18"
2,"PETTF126ZL.2/UBYXE329"
2.5,"PETTF126ZL.2/UBYYD337"
2,"PETTF126ZL.2/UBYYD850"
4,"PEUTE046/PEYXB198"
3,"STATUSVIP3"
7.25,"SU8818ZL"
7.25,"SV9036ZL"
5,"SW8014ZS.2"
4.75,"SXB178ZL.0"
2.25,"SXC1510ZS.0"
3.5,"SXC1531WT.0"
2.75,"SXC1531ZL.0"
1.5,"SXC1641ZL.0"
4,"SXC2241VIP3"
2,"SXC2251TG.0"
2.6,"SXC2251ZL.0"
2.33333333333333,"SXC2320VIP3"
3.25,"SXD2350ZS.0"
2,"SXD2621WT.0"
2.4,"SXD2621ZL.0"
5.25,"SXE3279ZL.0"
3.5,"SYA7470ZS.0"
2.75,"SYA7560ZS.0"
2.75,"SYB7361ZL.0"
3.5,"SYB7381ZL.0"
2,"SYC7131ZL.0"
2,"SYC7161WT.0"
2,"SYC7161ZL.0"
2,"SYC7209ZS.0"
4.5,"SYC7351ZL.0"
3.83333333333333,"SYC7441ZL.0"
2.31460674157303,"SYN555VIP3"
3.5,"SZC4141ZL.0"
2.83333333333333,"SZD5031ZL.0"
3.33333333333333,"SZD5211ZL.0"
2.25,"SZD537ZL.0"
2.5,"SZD6132ZL.0"
2.75,"SZD6142ZL.0"
2,"SZD6162ZL.0"
2,"SZD6202ZL.0"
2,"SZE6102ZL.0"
2,"SZE6111TG.0"
2.33333333333333,"SZE6111VIP3"
1.75,"SZE6172ZL.0"
2.5,"SZE6192ZL.0"
2,"SZF6101VIP3"
2,"SZF6101WT.0"
1.75,"SZF6152ZL.0"
3.5,"SZF6212ZL.0"
2.25,"WTP6741ZL.2/D8BB55"
3.25,"WTP6741ZL.2/PEXXE236"
3.25,"WTP6741ZL.2/PEYFB129"
3.75,"WTP6741ZL.2/PEYOB268"
3.25,"WTP6741ZL.2/PEYXD248"
2.75,"WTP6741ZL.2/PEYYB479"
2.5,"WTP6741ZL.2/UBYXD730"
2.25,"WTP6741ZL.2/UBYXE419"
3,"WTP6741ZL.2/UBYXG377"
2.25,"WTP6741ZL.2/UBYYD390"
3.5,"WTP6741ZL.2/UBYYE190"
2,"WTP6741ZL.2/UBYYE210"
2.25,"WTP6741ZL.2/UBYYF340"
2.25,"WTP6741ZL.2/WYXD534"
2,"ZTU7026GR.0/2SHB03"
2,"ZTU7026GR.0/PEFXD266"
2,"ZTU7026GR.0/PEYYC439"
2,"ZTU7026ZL.2/1FTB72"
2,"ZTU7026ZL.2/2SHB03"
2,"ZTU7026ZL.2/8DTB18"
1.75,"ZTU7026ZL.2/9DRB50"
2.25,"ZTU7026ZL.2/ACYFB838"
2.5,"ZTU7026ZL.2/PEFXD266"
2,"ZTU7026ZL.2/PEYFC319"
2,"ZTU7026ZL.2/PEYYC439"
2.25,"ZTU7026ZL.2/UBYFF378"
1.75,"ZTU7026ZL.2/UBYFF788"
2,"ZTU7026ZL.2/UBYYD390"
2.25,"ZTU7026ZL.2/UBYYD760"
1.75,"ZTU7026ZL.2/WYF6091"
